German,English
global,global
pennsylvania,Pennsylvania
warmen,to warm
danielle,Danielle
verbiete,prohibition
entschuldigst,sorry
wahlen,choose
aufziehen,put on
weitem,far
verdreht,twisted
powers,power
vorschuss,advance
bananen,banana
dex,dex
schuf,created
beschützer,protector
fuer,for
wahrlich,truly
hüften,hip
q,Q
betrag,amount
hysterisch,hysterical
schwor,vibration
schlägerei,brawl
flogen,flew
bösewicht,villain
aufwachsen,grow up
römischen,Roman
carolina,Carolina
auszeichnung,Award
riskiere,risk
florence,florence
ermöglichen,make possible
komiker,comedian
auffallen,stand out
eingegangen,received
kondom,condom
besserung,improvement
vinnie,vinnie
karton,cardboard
verspätet,delayed
obhut,care
aufführung,performance
fraß,frozen
abfahrt,Departure
hydra,Hydra
briefkasten,mailbox
häftling,prisoner
ezra,Ezra
kat,cat
unterschätzen,underestimate
sisko,sisko
hausfrau,housewife
hannes,Hannes
errichten,erect
stapel,stack
reparatur,repair
pike,pike
reste,remnants
übereinstimmung,accordance
entwurf,draft
shoppen,shop
anliegen,issue
täuschung,illusion
doll,doll
eliminieren,eliminate
verstärken,strengthen
insassen,inmate
mithilfe,help
packung,pack
u.s.,U.S.
adressen,addresses
kang,kang
themen,subjects
aufteilen,divide
unberechenbar,unpredictable
eingeschlagen,braid
verklagt,laminated
drohne,drone
vage,vague
hindernis,obstacle
izzy,izzy
qualifiziert,qualified
solo,solo
gierig,greedy
schreck,fright
verrotten,rot
integrität,integrity
hinterkopf,back of the head
wundervollen,wonderful
lo,loop
lob,praise
verwirren,confuse
allgemeinen,general
frustriert,frustrated
ohnmacht,fainting
autoschlüssel,car key
erfährst,experience
image,image
grady,grady
people,peeple
unheilvolle,ominous
kapieren,understand
zigarren,cigar
josé,José
joint,joint
nachgehen,pursue
gedrängt,pushed
soziale,social
diente,served
vieler,many
wissenschaftliche,scientific
dastehen,stand up
inmitten,midst
millie,Millie
brannte,burned
mengen,amounts
ausnahmsweise,exceptionally
silvester,New Year's Eve
berufen,appoint
schließfach,locker
bunny,bunny
kenneth,Kenneth
tische,tables
wasche,Laundry
vase,vase
einhalten,retain
halfen,help
übernahm,took over
millionär,millionaire
dreißig,thirty
bernadette,Bernadette
denjenigen,those
begeisterung,enthusiasm
forscher,researcher
begabt,gifted
design,design
matthews,Matthews
taufe,baptism
entscheidend,decisive
zurückhaben,back
katrina,Katrina
nervensäge,nerve saw
betritt,enter
rodrigo,rodrigo
kuckuck,cuckoo
veränderte,changed
vollbracht,accomplished
jeweils,respectively
passende,matching
unabhängigkeit,independence
türe,door
einbrechen,collapse
folgst,follows
lücke,gap
jüngeren,younger
immobilien,property
industries,industrial
schwangere,pregnant woman
unfug,nonsense
weibchen,female
ergriffen,seized
jahrestag,anniversary
oleson,oleson
fry,fry
exzellent,excellent
strahlen,ray
vorgenommen,performed
aufgezeichnet,recorded
business,business
depression,depression
privates,private
streiche,pranks
alaska,Alaska
frances,frances
wänden,walls
erwecken,bring
sawyer,Sawyer
männchen,male
senken,reduce
otis,otis
spanische,Spanish
beamter,official
kommission,Commission
fünfzig,fifty
gedemütigt,humiliated
gucke,look
mehrheit,majority
teuren,expensive
abreißen,tear off
komödie,comedy
gestehe,confess
außergewöhnliche,extraordinary
hartes,hard
ausprobiert,tried out
runterkommen,get down
tragt,carries
spart,saves
bälle,balls
fahrzeuge,vehicles
freya,Freya
zähl,count
verehrer,admirer
strecken,stretch
gegeneinander,against each other
ausfüllen,fill out
olive,olive
crazy,crazy
vermächtnis,legacy
beteiligung,participation
bengel,ribbon
p.,p.
gottverdammte,goddammed
winzigen,tiny
nächten,night
ätzend,corrosive
kapital,capital
attacke,attack
vorstellungsgespräch,job interview
interessiere,interested
medium,medium
anwenden,apply
hamlet,hamlet
stockwerk,floor
krankenhäuser,hospitals
direkten,direct
benötige,need
extreme,extreme
einzeln,individually
traurigen,sad
aufwärmen,warm up
auszugehen,go out
befreiung,liberation
anzahlung,down payment
jensen,Jensen
komplex,complex
alias,alias
grafen,Count
besaß,owned
sammle,collect
feiertage,public holidays
stinken,stink
franc,franc
neela,Neela
freiem,free
elektrischen,electrical
zustoßen,bound
zerschlagen,smash
hupt,hull
italienische,Italian
hingekriegt,manages
marseille,Marseille
columbia,Columbia
unterschiedlich,different
godsey,Godsey
schichten,layers
zielperson,Target person
kopenhagen,Copenhagen
furchtbares,terrible
fürchtete,feared
passagier,passenger
imperium,imperium
möcht,want
säufer,drunkard
verlasst,leaves
weiser,wise
zurückzuholen,bring back
cho,choir
mieter,renter
schlösser,Castles
privileg,privilege
kondome,condoms
montana,Montana
rührend,touching
stumme,mute
winde,wind
wirbel,whirl
investoren,investors
kakao,cocoa
sadie,sadie
ausgestiegen,got out
pisse,piss
lucifer,lucifer
thailand,Thailand
behälter,container
beck,Beck
scheußlich,awful
kurier,courier
abu,Abu
decker,deck
gereizt,irritated
fassung,version
leitungen,cables
kaliber,caliber
losgeht,and go
gemeine,common
wochenlang,for weeks
zeilen,lines
granate,grenade
morgengrauen,Dawn
kristall,crystal
captains,captains
sky,sky
bürgerkrieg,civil war
dulden,tolerate
abzuhauen,cut off
sorgte,worried
verhandelt,negotiated
einwände,objection
lara,lara
unheil,disaster
anteile,proportions
wiege,cradle
yankees,Yankees
herb,tart
freaks,freaks
verbietet,forbidden
verwendung,use
rauben,rob
cognac,cognac
allgemein,generally
küsste,kissing
unschuldiger,innocent
evolution,evolution
blas,brass
vulkanier,volcanic
inn,inn
gratulation,congratulations
marmelade,jam
becken,pool
eden,Eden
hingegen,however
quält,torture
spartacus,Spartacus
unversehrt,unscathed
gering,small amount
janeway,Janeway
voilà,voilà
jüngere,younger
mächte,powers
floyd,floyd
sechsten,sixth
produzenten,producer
rektor,rector
zitrone,lemon
störungen,disorders
reichte,handed over
kreativ,creative
höhlen,caves
winchester,Winchester
bianca,bianca
willis,Willis
quark,Quark
zigeuner,gypsy
schnarchen,snoring
dead,dead
ärgerlich,annoying
angaben,declarations
gibson,Gibson
chili,chili
diskretion,discretion
armstrong,arm strong
unterhosen,underpants
erforderlich,necessary
cassidy,cassidy
auftauchte,appear
pascha,pasha
aussetzen,expose
sentimental,sentimental
empfängt,welcomed
evakuierung,evacuation
nebenwirkungen,side effects
mccormick,mccormick
erstellt,created
vernichtung,destruction
idiotisch,idiotic
cocktail,cocktail
säubern,clean
behandelst,treated
eingepackt,packed
meisterwerk,masterpiece
empfindet,feels
bestien,beast
unzählige,countless
einbringen,bring in
darryl,darryl
spitznamen,nickname
smoking,tuxedo
verschwende,wasting
iron,Iron
misstrauen,mistrust
spätestens,at latest
chinese,Chinese
cash,cash
gilmore,Gilmore
pfui,Pooh
zeugenstand,witness stand
gästezimmer,Guest room
abflug,departure
hungern,hunger
verschwanden,disappeared
serum,serum
julio,Julio
place,place
phantasie,imagination
therapeuten,therapist
terror,terror
bedienung,service
beugen,bend
trish,trish
elise,Elise
verriegelt,locked
genäht,sewn
spurensicherung,evidence
falten,fold
saugen,suck
graue,gray
ehrlicher,more honest
walden,walden
leichenhalle,corpse
wärs,would be
fels,rock
bohren,drill
versteckten,hidden
desmond,Desmond
notiert,written down
milliarde,billion
gebäudes,building
pfadfinder,scout
gorilla,gorilla
roch,smell
caitlin,Caitlin
kippen,tip
gleicht,resembled
pflaster,pavement
l.,l.
benutzten,used
anzuziehen,to attract
verlockend,tempting
bryce,bryce
ampel,traffic light
interpol,Interpol
dodge,dodge
technische,technical
zimmerservice,room service
lu,lu
hirsch,deer
hayley,Hayley
verspricht,promises
lachend,laughing
anständiger,decent
füllt,filled
geschätzt,estimated
verbündete,ally
zuschauen,watch
abstimmen,vote
schwägerin,sister in law
cybill,cybill
deaktivieren,deactivate
rück,back
edmund,Edmund
drohnen,drone
begehrt,coveted
gange,gaid
sauerei,mess
portion,portion
beraubt,deprived
constance,Constance
bull,bull
jubelt,cheers
jugendlichen,adolescent
bemerkung,remark
aids,AIDS
cate,cate
johann,John
hingehört,listed
maryann,Maryann
halskette,necklace
istanbul,Istanbul
been,beings
beunruhigen,trouble
scheren,scissors
schweigt,silent
brei,porridge
antwortete,replied
fäden,thread
coolen,cool
schämst,asham
mehl,flour
vollem,full
aufgebrochen,broken up
expedition,expedition
änderung,the change
überwachungskameras,surveillance cameras
derer,of those
blinder,blind
durchzuführen,carry out
parlament,houses of Parliament
direkte,direct
dawson,Dawson
tanya,tanya
umfeld,environment
schrieben,wrote
michigan,Michigan
auffliegen,fly up
woman,woman
hergeschickt,sent
vormachen,show off
vorstrafen,precede
hingeht,goes
grauenvoll,horrible
schwiegermutter,mother-in-law
lehrt,teaches
langley,langley
erwürgt,struggled
tassen,cups
seuche,plague
zauberspruch,Magic spell
lucien,Lucien
läufer,runner
drive,drive
effektiv,effectively
nord,north
callie,callie
hu,HU
auskommen,get out
heitere,cheerful
jupiter,Jupiter
nuss,nut
trauzeuge,Best man
steinen,stone
puh,phew
österreich,Austria
einkommen,income
vereinigung,Union
mittelpunkt,Focus
page,page
andeuten,indicate
helene,Helene
unverständliche,incomprehensible
anschein,appearance
höflichkeit,courtesy
aufzeichnung,recording
komplikationen,complications
aufsteigen,rising up
gehorcht,obey
hollow,Hollow
gefällig,pleasant
schlicht,simple
ausgestattet,fitted
reiße,tear
nachdenke,thinking
parks,parks
anstrengen,exert
richterin,judge
bindet,bind
alternativen,alternatives
verabschiede,farewell
vito,vito
abgeht,pass
dämlichen,stupid
edie,edie
druckmittel,leverage
schweben,hover
ankamen,arrived
crack,crack
formular,form
festzuhalten,hold onto
architekt,architect
runtergefallen,fell
eindringling,intruder
wahlkampf,election campaign
country,country
staunen,be amazed
lagern,to store
gewissermaßen,in a way
sinnen,snack
verbraucht,consumed
bremse,brake
idiotin,idiot
gleichgültig,indifferent
gefangenschaft,captivity
daktari,daktari
russ,soot
westlich,west
men,men
nixon,Nixon
samt,velvet
mail,mail
laurie,Laurie
vorhanden,available
bestell,Order
klara,clear
only,only
face,face
hinbekommen,get
adoption,adoption
handelte,acted
verrätst,trial
hinterm,behind the
rande,edge
break,break
reinziehen,pull into
zart,tender
ewigkeiten,ages
immunität,immunity
eingelassen,embedded
gewettet,betted
ergab,resulted in
ausgesagt,said
studiere,study
malt,paint
tonne,ton
regle,regulation
borgen,borrow
spezialeinheit,special unit
behandle,treating
zerreißen,tear
hermann,Hermann
übergebe,hand over
alma,alma
wanze,bug
zeugnis,transcript
örtlichen,local
phänomen,phenomenon
umgeht,pass
weitaus,far
polizeirevier,police station
öfters,more often
erreiche,achievement
produkte,Products
misch,mixed
beklagen,complain
schurke,villain
kleinere,smaller
sonnenbrille,sunglasses
strenge,strictness
phantom,phantom
verdoppeln,double
zuzugeben,admit
titelseite,title page
schwiegervater,father in law
abscheulich,hidden
nigel,nigel
kleinigkeiten,little things
kompass,compass
yoga,yoga
elektrische,electrical
gewirkt,acted
kaviar,caviar
reiben,rub
plage,plague
erziehen,educate
bekäme,get
streife,patrol
erhoben,raised
analysiert,analyzed
norwegen,Norway
kappe,cap
iran,Iran
aufzustehen,get up
volles,full
hebel,lever
urin,urine
iren,Irish
triumph,triumph
begrenzt,limited
ham,ham
gil,Gil
streichhölzer,matches
martinez,Martinez
erscheinung,appearance
neid,envy
tabu,taboo
eyes,eyes
berechnungen,calculations
auskunft,information
dänemark,Denmark
hintergangen,declined
flint,flint
patronen,cartridges
wiederkommt,come back
gefährliches,dangerous
erweitern,expand
bereut,regretted
cherry,cherry
ami,Ami
won,won
shh,shh
übernimm,assumed
waffenstillstand,armistice
banks,bank
sonia,Sonia
vorkommt,occurs
astronauten,astronauts
virgil,virgil
kreislauf,circuit
nash,wet
richtungen,directions
sicherzugehen,to ensure
weggerannt,run away
widerfahren,happen
lebensunterhalt,livelihood
hintereinander,behind each other
dingern,things
angreift,attacked
ziegen,goat
außenseiter,outsider
crockett,crockett
nummernschild,license plate
steuerbord,taxboard
leidenschaftlich,passionate
autoren,authors
kümmerte,cared for
auflösen,dissolve
quietscht,squeaky
gereinigt,cleaned
verschonen,spare
großgezogen,raised
backe,jaw
mina,mina
cafeteria,cafeteria
zusammenbleiben,stay together
bekomm,get
bedauere,regret
zugesagt,agreed
jr,jr
fix,fix
schwur,oath
bewaffneten,armed
höchstpersönlich,personally
giovanni,Giovanni
anrufer,caller
rutsch,slide
supergirl,super girl
juliet,Juliet
blutbad,bloodbath
bankrott,bankrupt
bear,bear
bräute,brides
foreman,foreman
losfahren,drive off
atemzug,breath
legenden,legend
kopfgeld,bounty
nadeln,needles
señora,Señora
johns,Johns
otaru,otaru
nils,Nils
papagei,parrot
wärmer,warmer
groll,resentment
ketchup,Ketchup
aktionen,Actions
nahen,sew
gestolpert,stumbled
feiertag,holiday
latte,bar
erwischte,caught
spitzname,nickname
hardcastle,hardcastle
senior,Senior
weht,blows
verfolgte,persecuted
angeber,show -off
befassen,deal with
fantasien,fantasies
befreie,free
einfangen,capture
prophet,prophet
grundlos,without reason
abzuschließen,complete
engen,narrow
signor,signor
haha,haha
handwerk,craft
daddys,daddys
schert,scales
lose,loose
verantwortlichen,responsible
höchstwahrscheinlich,most likely
pervers,perverse
mitgeteilt,communicated
interviews,interviews
zugefügt,added
vermieter,landlord
aßen,ate
truhe,chest
moralische,moral
blondine,blonde
alvarez,Alvarez
scheinwerfer,headlight
bewege,move
jap,jap
zugrunde,underlying
mischt,mix
aufwachte,woke up
abheben,lift up
weiblich,female
verfügt,has
tippen,tap
buchhaltung,accounting
beider,at the
buffalo,buffalo
fügen,put
siebten,seventh
befiehlt,command
klickt,click
dracula,dracula
ermordete,murdered
jura,law
well,well
einsamer,loner
perle,pearl
lustiges,funny
künstliche,artificial
cape,cape
außerordentlich,extraordinary
falke,Falcon
klicken,click
schwindlig,dizzy
hingebracht,brought
überstürzen,rush
reingelassen,let in
gattin,wife
östlich,east
seins,his
genauen,precise
wiegen,weigh
labyrinth,labyrinth
währenddessen,Meanwhile
töricht,foolish
ausrauben,rob
lautlos,silent
zitat,quote
abgehalten,held
hale,hale
zweier,two
hingezogen,drawn
ty,ty
unendliche,infinite
antibiotika,antibiotics
emil,Emil
gehn,go
häftlinge,Prisoners
polizeichef,chief of police
psychiatrie,psychiatry
übergeschnappt,snapped
heuchler,hypocrite
jerusalem,Jerusalem
immun,immune
temperament,temperament
boulevard,boulevard
umhang,cape
zugeteilt,allocated
alarmanlage,alarm system
trefft,meet
überfordert,overwhelmed
galgen,gallows
hubert,Hubert
wegrennen,run away
stiles,style
monte,monte
courtney,courtney
filmstar,film star
verfügen,feature
aufwand,expense
interne,internal
klippe,cliff
verurteilung,conviction
umweg,detour
cisco,cisco
einberufen,convene
evakuiert,evacuated
urteilsvermögen,discernment
malone,Malone
christy,Christy
ablaufen,expire
einzugehen,enter into
zwecke,purpose
zeus,Zeus
simpel,simple
erfolgreiche,successful
impfstoff,vaccine
bestechung,bribery
cruz,cruz
weigere,wicker
salvatore,Salvatore
verschweigen,conceal
verlauf,course
aktuellen,current
lampen,lamp
trauriger,sad
empfunden,perceived
journalistin,journalist
endes,end
kasino,casino
titus,titus
veranlasst,prompt
sicherung,fuse
fahrkarte,ticket
fortgehen,go away
jared,jared
aufgeführt,listed
listen,list
tiffany,Tiffany
äußern,express
adrenalin,adrenaline
frühere,earlier
missbrauch,abuse
seminar,seminar
drittens,third
fernando,Fernando
biegen,to bend
demonstration,demonstration
porsche,Porsche
deaktiviert,deactivated
vertritt,represents
erklärst,explained
liebevoll,lovingly
umgedreht,turned around
konversation,conversation
freundliche,friendly
zurückverfolgen,trace back
perverser,perverse
madeline,Madeline
ausbrechen,breaking out
traurigkeit,sadness
ming,ming
speisen,Food
verfallen,expire
gittern,bars
marks,marks
irrenhaus,madhouse
dance,dance
rechenschaft,account
bloßen,mere
schwört,swear
verleiht,awards
henrik,Henrik
schlucht,canyon
kauen,chew
five,five
erwachen,awakening
lichts,light
clan,clan
rechne,calculate
ungestört,undisturbed
stationiert,stationed
packst,pack
angewohnheit,habit
lyle,lyle
sonnenlicht,sunlight
warfen,throw
darlehen,loan
scheidet,separate
josie,Josie
gestimmt,tuned
standard,default
senatorin,senator
beethoven,Beethoven
vormittag,late morning
ratet,advice
johanna,Johanna
verarsch,royal
sushi,sushi
auswählen,choose
strike,strike
geschwätz,chatter
enorme,enormous
kassieren,collect
biene,bee
leistet,does
totes,dead
antwortest,response test
drittes,third
bonbons,sweets
gequält,tortured
scharfen,sharpen
beheben,remedy
beschluss,decision
ast,branch
hereinkommen,get in
erschrickt,frightened
away,away
drückst,pressed
schmerzmittel,Painkiller
lappen,rag
zurückzubringen,bring back
unruhe,unrest
kommandanten,commander
fliegende,flying
aria,Aria
nutzte,used
direktorin,director
ich-ich,I i
puste,pust
täuscht,deceptively
änderst,change
chow,chow
gabrielle,Gabrielle
atombombe,atomic bomb
türken,Turk
missverstanden,missunderstood
nels,nels
unterdrückt,oppressed
ausmaß,extent
made,made
manuskript,manuscript
annika,Annika
hallöchen,Hello there
ct,CT
freigegeben,Approved
blutgruppe,blood type
schliefen,slept
symbole,symbol
ausdrücklich,expressly
reduzieren,to reduce
ungeschickt,clumsily
vermieten,rent
te,te
beizubringen,bring up
ausweichen,evade
leckt,licked
angucken,look at
gewissheit,certainty
verbrennungen,burns
klarheit,clarity
trittst,step
diskutiert,discussed
kratzt,scratch
typische,typical
abdruck,impression
gelaunt,in a moody
bins,bin
einnahmen,revenue
hawkins,Hawkins
tell,Tell
entdeckten,discovered
zuversichtlich,confident
pumpen,pump
powell,powell
fettsack,fat bag
pfeile,arrows
gewillt,willing
stinkst,stink
lebensformen,life forms
immernoch,still
cage,cage
betrinken,get drunk
tuck,tuck
town,town
carolyn,Carolyn
zäh,tough
liu,liu
abgang,departure
auszudrücken,express
fußboden,floor
gemeiner,common
ernten,to harvest
imstande,able
erfolgt,he follows
wahrhaftig,truthfully
besessenheit,obsession
schämt,ashamed
zurückgegeben,returned
lanze,lance
erleichtern,facilitate
springs,spring
stiefmutter,stepmother
verein,association
yakuza,Yakuza
nichtmal,not even
comics,comics
three,three
metapher,metaphor
aufgeht,rises
maximal,maximum
starr,rigid
friss,hawk
gehirns,brain
aufreißen,rip
lost,lost
razzia,raid
hellseher,clairvoyant
putzfrau,cleaning woman
wohlstand,prosperity
beatrice,Beatrice
alberto,alberto
holten,get
spitzen,sharpen
poltern,rumble
erfreuen,delight
daryl,daryl
lunch,lunch
tattoos,tattoos
bordell,brothel
unterdrücken,suppress
connecticut,Connecticut
please,please
straftat,crime
aktuelle,current
dolly,dolly
entzückt,delightful
unterbrechung,interruption
knox,knox
kochst,cook
zugeschlagen,struck
schülern,students
darren,darren
ethel,ethel
gebrauch,use
gewehrt,defended
base,base
räum,spacer
köpfchen,head
ruhigen,calm
weck,wake
anhört,listened
zusammenleben,living together
durcheinandergerede,mess
o.,O.
flynn,Flynn
bevorzugt,preferred
horror,horror
dominic,dominic
krug,jug
imitiert,imitated
friedens,peace
tick,Tick
spurlos,without a trace
mitgekommen,joined
reserve,reserve
abbekommen,to get
wagner,wagner
gardner,Gardner
langweilt,bored
benji,Benji
kaisers,emperor
norris,norris
schnelles,rapid
kolonien,colonies
errichtet,built
mentor,mentor
blues,blues
durchbrechen,break through
orson,Orson
grüner,greener
lucie,Lucie
unzufrieden,unsatisfied
beschämt,ashamed
lästig,annoying
spind,locker
übernachtet,spent the night
spanischen,Spanish
definition,definition
unordnung,disarray
yuri,yuri
mittendrin,in the middle
optimistisch,optimistic
sekte,sect
vergewaltiger,rapist
geschockt,shocked
gracie,gracie
mikro,micro
verbrochen,broken
stünde,facing
beschlagnahmt,confiscated
madeleine,madeleine
einzelhaft,solicitous
bug,bug
italienischen,Italian
frederick,Frederick
löste,loosening
apachen,Apache
spezialisten,specialists
nazi,Nazi
tapferkeit,bravery
zutaten,ingredients
unsichtbare,invisible
zurückgerufen,call back
samstagabend,Saturday night
unverständliches,incomprehensible
pesos,pesos
ursprünglichen,original
sol,Sol
resultate,results
r.,r.
alexis,Alexis
sende,send
klientin,client
sympathisch,friendly
verwöhnt,spoiled
schiffs,ship
langweile,boring
bekanntschaft,acquaintance
joggen,jog
rettest,rescue test
träger,carrier
finanziell,financially
depressionen,depressions
weitergeben,pass along
schnecke,snail
gedruckt,printed
feindlichen,enemy
rinder,bovine
waisen,orphan
chemische,chemical
baust,bust
getraut,dared
zünder,detonator
lachte,laugh
haarschnitt,haircut
schneewittchen,Snow White
gerry,gerry
enten,duck
pariser,Parisian
einmalig,unique
vergeudet,wasted
tomas,Tomas
depressiv,depressive
comandante,Comandante
eingebrockt,curved
schreibmaschine,typewriter
selig,blissful
entgangen,escaped
gelohnt,worthy
notizbuch,Notebook
wechselgeld,change
starrst,rigid
z.,z.
obdachlosen,homeless
göttliche,divine
überlebte,survived
merkwürdiges,strange
frankreichs,France
entziehen,revoke
jacks,jack
gefällst,felled
hupe,horn
festland,Mainland
rückgrat,backbone
schmuggeln,smuggle
knoblauch,garlic
mörders,murderer
motoren,Engines
korridor,corridor
sugar,sugar
countdown,countdown
socke,sock
bettler,beggar
signore,signore
russe,Russian
forge,forge
lopez,lopez
salut,salut
ausfallen,stand out
zeh,toe
freud,Freud
äußeren,outer
grausame,cruel
cooles,cool
bakterien,bacteria
olsen,Olsen
feindes,enemy
rezeption,reception
erreichte,achieved
dreizehn,thirteen
paolo,Paolo
anflug,approach
penelope,penelope
sogenannten,so -called
verschwendest,wasted
donny,Donny
zulassung,permit
abtreibung,abortion
planung,planning
territorium,territory
pope,pop
portemonnaie,Wallet
affengeräusche,monkey noise
improvisieren,improvise
reinzukommen,get in
tanken,refuel
einschüchtern,intimidate
explodierte,exploded
schleife,ribbon
berechnen,calculate
befördern,promote
newton,Newton
aufgespürt,tracked down
streicheln,stroke
speer,spear
reaktionen,reactions
maxwell,Maxwell
director,director
erhöhe,increasing
hinteren,back
zusammengearbeitet,worked together
hanson,Hanson
geschweige,let alone
puff,puff
dämlicher,stupid
ablauf,process
rollt,rolls
mikrofon,microphone
verwundeten,wounded
aufgewühlt,churned
luftwaffe,air force
wiese,meadow
beschissenes,shitty
verkleidung,cladding
scarlett,scarlett
intensivstation,intensive care unit
schlinge,loop
mahlzeiten,meals
list,cunning
handvoll,handful
lehnte,leaned
stärksten,strongest
beweisstück,evidence
pretty,pretty
einzigartige,unique
gehirne,brains
pfeffer,pepper
nachgeben,give in
pittsburgh,Pittsburgh
stadium,stage
stritten,contest
stau,traffic jam
unsterblichkeit,immortality
karev,karev
ginny,ginny
wiehern,neigh
erkenntnis,Understanding
erweckt,awakened
kategorie,category
überwältigend,overwhelming
underwood,underwood
neelix,Neelix
explosionen,explosions
telefonzelle,telephone cell
plaza,plaza
verschließen,close
angesagt,"hip, trendy, popular"
western,Western film
absatz,paragraph
beschreibt,describes
lern,learning
main,Main
lehne,rest
easy,easy
buße,buses
fehlende,missing
anständigen,decorate
häufiger,more common
buh,boo
anfängst,start
fandest,found
jaja,Yes / Yes
giftig,poisonous
rausch,intoxication
jarvis,Jarvis
hochwürden,whitewash
schnecken,snail
einheimischen,native
unmögliche,impossible
weaver,weaver
freilassung,release
sonderbar,strange
fassade,facade
scharfschützen,snip
anfrage,inquiry
bewegte,moving
ex-mann,ex-man
fotografen,photographer
monika,Monika
cardassianer,Cardassian
solide,solid
ansiehst,look at
freitagabend,Friday evening
legten,put on
klatsch,gossip
dewey,Dewey
schicksals,fate
hartnäckig,persistent
bars,bars
paddy,Paddy
sofortige,immediate
küstenwache,coastal guard
entsetzt,horrified
moe,moe
edle,noble
unbemerkt,unnoticed
religiöse,religious
scheiben,slices
plänen,plans
schleifen,grind
wundervoller,more wonderful
mozart,Mozart
shelly,shelly
deprimierend,depressing
onkels,uncle
jade,jade
pol,pole
bedankt,thanked
fi,fi
harmonie,harmony
alexandra,Alexandra
jacqueline,jacqueline
kelch,chalice
reddington,Reddington
hüter,guardian
jetzigen,current
buchen,book
leiste,strip
dee,dee
aufgeklärt,enlightened
kurzes,short
außenministerium,Foreign Ministry
wheeler,wheel
adios,Adios
arrest,arrest
oxford,oxford
lebensform,form of life
clint,cling
anfasst,touched
veranstaltet,organized
umstellt,surrounded
bezieht,obtained
besetzung,occupation
murdock,Murdock
cut,cut
kriminell,criminal
praktikum,internship
grossen,huge
angebote,offers
märtyrer,martyr
blutest,bleeding
anfange,beginnings
kick,kick
paß,passport
bogg,bogg
tapferen,brave
haupt,main
nachtschicht,night shift
gebrochene,broken
klebeband,duct tape
metzger,Butcher
marlene,Marlene
gewöhnlichen,ordinary
umarme,hug
philipp,philipp
leistungen,Services
dankt,docked
fitzgerald,Fitzgerald
lesben,lesbian
ehering,wedding ring
uno,U.N
strauss,ostrich
großbritannien,Great Britain
armeen,army
aufsehen,take a look
heu,hay
schwarm,swarm
ziemlicher,quite more
eule,owl
mitteilung,notice
aufgerissen,torn
sätze,sentences
gottverdammten,goddamten
gelockt,lured
erwägung,consideration
langsame,slow
keen,keen
gunst,favor
bann,spell
leichenschauhaus,corner
widersetzen,resist
geflüchtet,fled
therapeut,therapist
abdrücken,pull out
hingehst,go there
lokale,local
edlen,noble
dialog,dialog
kaputte,broken
susanne,susanne
tokyo,Tokyo
lordschaft,lordship
zuhört,listens
finanziellen,financial
camelot,camelot
bäckerei,bakery
gehauen,hewn
ziemliche,Quantity
bronx,bronx
originell,original
sicherheitssystem,security system
elektronische,electronic
twilight,twilight
glaubens,faith
charlene,Charlene
nahezu,nearly
sichtkontakt,visual contact
strafen,Punish
gehorsam,obedience
sportler,athlete
mutiger,brave
becker,Becker
det,det
saga,saga
ski,ski
entgeht,escaped
abläuft,runs out
timothy,timothy
beschwingte,lively
lindsay,lindsay
aufklärung,enlightenment
phantastisch,fantastic
zane,zane
eigen,own
haven,haven
gracias,Gracias
justine,Justine
blonden,blonde
kobra,cobra
beantragen,apply for
muscheln,Shellfish
spot,spot
bewerbung,application
biologische,biological
raffiniert,refined
protest,protest
texte,lyrics
kapiere,crowd
linus,linus
panne,breakdown
willens,willing
argentinien,Argentina
bissen,bite
abbiegen,turn
harbor,Harbor
fernen,distant
versäumt,missed
frühe,early
rohre,tube
packte,grabbed
zeitmaschine,time Machine
weiterzumachen,to continue
beiß,bite
kleinsten,smallest
verzögerung,delay
sprit,fuel
initialen,initials
ansprache,speech
recherchiert,researched
malley,Malley
erfuhren,experienced
ja.,Yes.
zahlte,paid
eingebaut,built-in
offener,more open
geheimnisvoll,mysterious
geschöpf,creature
unangebracht,inappropriate
schlüsse,conclusions
eingefangen,captured
halts,holding
bewährungshelfer,probation
folgten,followed
erhebe,raise
brenner,burner
surfen,surfing
hintergehen,go back
hörner,horns
fürchtest,fear test
reaktor,reactor
run,run
zweieinhalb,two and a half
gebrochenen,broken
ansage,announcement
kompromiss,Compromise
abzeichen,badge
mehrfach,multiple
dolores,Dolores
cox,cox
zielt,target
vorlesung,lecture
gesamtes,overall
berechnet,calculated
römische,Roman
auffällig,noticeable
lenkrad,steering wheel
engagement,engagement
amerikanerin,American
harlem,Harlem
jose,jose
chakotay,chakotay
fernzuhalten,keep away
gründer,founder
technischen,technical
hassan,hate
eingeweide,guts
verschickt,sent
studierte,studied
industrie,Industry
frühjahr,spring
heiligabend,Christmas Eve
stellvertreter,deputy
unvorstellbar,inconceivably
sichert,secure
scheißt,shit
space,space
zweifle,doubt
verbrannte,burned
hähnchen,chicken
ren,ren
exfrau,ex wife
kulturen,cultures
ehrgeizig,ambitious
anmelden,register
bewegst,move
verschüttet,spilled
whirlpool,whirlpool
atmung,breathing
kaltblütig,cold -blooded
handwerker,handyman
kurse,courses
griffen,handle
unangenehme,uncomfortable
ausstellen,exhibit
andernfalls,otherwise
sonderlich,especially
angefühlt,felt
prag,Prague
frösche,frogs
herausfand,found out
vega,vega
vance,Vance
zärtlich,tender
doe,doe
